"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Absorb Vis","plst","Near Mint","English","","","2022-02-26 17:10:21.787000","CN2-126","False","False",""
"1","1","Abstergo Entertainment","acr","Near Mint","English","","","2026-03-05 03:44:02.247000","79","False","True",""
"1","1","Abundance","40k","Near Mint","English","","","2022-11-22 05:18:31.840000","210","False","False",""
"1","1","Abundant Growth","avr","Near Mint","English","","","2022-06-06 18:17:41.820000","167","False","False",""
"2","2","Abundant Growth","inr","Near Mint","English","","","2025-01-18 07:17:59.333000","184","False","False",""
"1","1","Abundant Growth","afc","Near Mint","English","","","2024-11-09 18:25:00.647000","150","False","False",""
"1","1","Abundant Harvest","mh2","Near Mint","English","","","2022-05-21 00:25:05.877000","354","False","False",""
"2","2","Abyssal Gorestalker","lci","Near Mint","English","","","2023-11-25 07:42:13.547000","87","False","False",""
"1","1","Abyssal Harvester","fdn","Near Mint","English","","","2025-01-01 21:05:18.977000","54","False","False",""
"2","2","Abzan Devotee","tdm","Near Mint","English","","","2025-04-06 17:30:03.077000","68","False","False",""
"1","1","Abzan Guide","plst","Near Mint","English","","","2022-02-26 05:03:02.207000","KTK-162","False","False",""
"1","1","Academic Dispute","stx","Near Mint","English","foil","","2022-02-26 23:16:06.897000","91","False","False",""
"1","1","Academy Manufactor","mh2","Near Mint","English","","","2024-11-09 18:25:00.647000","219","False","False",""
"1","1","Academy Manufactor","blc","Near Mint","English","","","2025-08-31 04:57:39.393000","264","False","False",""
"2","2","Academy Wall","dmu","Near Mint","English","","","2023-12-08 17:21:05.200000","41","False","False",""
"1","1","Accelerate","tor","Near Mint","English","","","2023-11-07 20:09:35.860000","90","False","False",""
"1","1","Access Tunnel","pw26","Near Mint","English","foil","","2026-05-20 16:21:58.057000","9","False","False",""
"1","1","Acclaimed Contender","eld","Near Mint","English","","","2022-02-27 04:36:47.823000","1","False","False",""
"1","1","Acclaimed Contender","moc","Near Mint","English","","","2024-08-29 19:34:05.657000","166","False","False",""
"1","1","Accorder's Shield","m14","Near Mint","English","","","2024-11-09 18:25:19.133000","204","False","False",""
"1","1","Accursed Duneyard","drc","Near Mint","English","","","2025-02-14 23:22:25.257000","20","False","False",""
"1","1","Accursed Marauder","mh3","Near Mint","English","","","2024-06-09 13:21:22.197000","80","False","False",""
"1","1","Acererak the Archlich","afr","Near Mint","English","","","2023-12-07 17:42:04.067000","87","False","False",""
"1","1","Acidic Slime","cmr","Near Mint","English","","","2022-04-28 04:27:57.427000","421","False","False",""
"1","1","Acidic Slime","m12","Near Mint","English","","","2022-02-26 01:53:42.973000","161","False","False",""
"1","1","Acidic Slime","cmm","Near Mint","English","","","2023-08-05 16:49:13.077000","270","False","False",""
"1","1","Acidic Slime","afc","Near Mint","English","","","2022-04-27 05:54:30.173000","151","False","False",""
"1","1","Acolyte Hybrid","40k","Near Mint","English","","","2022-11-22 05:18:31.840000","70","False","False",""
"2","2","Acolyte of Aclazotz","lci","Near Mint","English","","","2023-11-25 07:59:06.113000","89","False","False",""
"1","1","Acolyte of Affliction","thb","Near Mint","English","","","2024-11-09 18:25:00.647000","206","False","False",""
"1","1","Acolyte of Bahamut","clb","Near Mint","English","","","2022-06-11 13:47:40.187000","212","False","False",""
"1","1","Acrobatic Leap","tle","Near Mint","English","","","2025-12-05 15:59:46.527000","151","False","False",""
"1","1","Acrobatic Leap","lci","Near Mint","English","","","2023-11-11 04:56:01.783000","2","False","False",""
"1","1","Act of Treason","ktk","Near Mint","English","","","2022-02-26 23:39:16.593000","95","False","False",""
"1","1","Act of Treason","jmp","Near Mint","English","","","2023-01-22 17:24:23.687000","289","False","False",""
"3","3","Act of Treason","rvr","Near Mint","English","","","2024-01-24 03:54:20.107000","99","False","False",""
"3","3","Act of Treason","m12","Near Mint","English","","","2022-02-26 22:39:52.643000","121","False","False",""
"3","3","Adamant Will","vow","Near Mint","English","","","2022-02-27 22:27:49.233000","1","False","False",""
"1","1","Adanto Vanguard","plst","Near Mint","English","","","2022-02-27 04:44:08.510000","XLN-1","False","False",""
"2","2","Adaptive Sporesinger","one","Near Mint","English","","","2023-03-17 23:22:01.110000","157","False","False",""
"1","1","Adaptive Sporesinger","one","Near Mint","English","foil","","2024-11-09 18:25:41.233000","157","False","False",""
"1","1","Adarkar Wastes","drc","Near Mint","English","","","2025-02-14 23:22:25.257000","144","False","False",""
"1","1","Adarkar Wastes","m3c","Near Mint","English","","","2025-10-17 05:09:29.217000","316","False","False",""
"1","1","Additive Evolution","sos","Near Mint","English","foil","","2026-04-20 01:58:13.167000","139","False","False",""
"3","3","Adelbert Steiner","fin","Near Mint","English","","","2025-06-19 18:11:45.823000","3","False","False",""
"1","1","Adeline, Resplendent Cathar","moc","Near Mint","English","","","2024-08-29 19:34:05.657000","167","False","False",""
"1","1","Adeline, Resplendent Cathar","tdc","Near Mint","English","","","2025-05-21 04:34:25.467000","108","False","False",""
"1","1","Adriana, Captain of the Guard","onc","Near Mint","English","","","2025-05-21 04:37:52.557000","114","False","False",""
"1","1","Advanced Stitchwing","2x2","Near Mint","English","","","2022-07-18 19:16:51.000000","36","False","False",""
"6","6","Adventurer's Airship","fin","Near Mint","English","","","2025-07-19 06:01:01.287000","252","False","False",""
"4","4","Adventurer's Inn","fin","Near Mint","English","","","2025-07-09 00:52:37.763000","271","False","False",""
"1","1","Adventuring Gear","fdn","Near Mint","English","","","2024-11-09 07:12:59.207000","249","False","False",""
"1","1","Adventurous Eater // Have a Bite","sos","Near Mint","English","","","2026-04-20 01:54:32.493000","72","False","False",""
"1","1","Adventurous Impulse","plst","Near Mint","English","","","2022-02-26 00:53:07.967000","DOM-153","False","False",""
"1","1","Aegar, the Freezing Flame","mul","Near Mint","English","foil","","2024-11-09 18:25:00.647000","161","False","False",""
"1","1","Aegar, the Freezing Flame","mul","Near Mint","English","","","2024-08-29 19:42:23.517000","31","False","False",""
"1","1","Aegis Angel","m12","Near Mint","English","foil","","2023-03-18 23:01:08.797000","1","False","False",""
"1","1","Aegis Angel","m12","Near Mint","English","","","2023-03-18 23:00:59.257000","1","False","False",""
"1","1","Aegis of the Heavens","jmp","Near Mint","English","","","2023-01-22 15:49:36.783000","79","False","False",""
"1","1","Aegis Turtle","jmp","Near Mint","English","","","2023-01-22 16:31:13.650000","138","False","False",""
"1","1","Aerial Assault","jmp","Near Mint","English","","","2023-01-22 15:48:30.470000","80","False","False",""
"2","2","Aerial Doombot","msh","Near Mint","English","","","2026-06-21 06:39:27.680000","43","False","False",""
"1","1","Aerial Extortionist","ncc","Near Mint","English","","","2024-11-09 18:25:00.647000","11","False","False",""
"1","1","Aerial Guide","j25","Near Mint","English","","","2024-12-03 17:36:26.127000","282","False","False",""
"2","2","Aerie Auxiliary","mh3","Near Mint","English","","","2024-06-14 22:20:43.807000","18","False","False",""
"1","1","Aerie Worshippers","bng","Near Mint","English","foil","","2022-05-26 04:53:28.273000","30","False","False",""
"1","1","Aerith Gainsborough","fin","Near Mint","English","","","2025-06-21 16:25:35.670000","4","False","False",""
"5","5","Aerith Rescue Mission","fin","Near Mint","English","","","2025-07-19 05:55:42.250000","5","False","False",""
"1","1","Aerith, Last Ancient","fic","Near Mint","English","","","2025-06-19 03:26:58.633000","76","False","False",""
"1","1","Aeromoeba","mh2","Near Mint","English","","","2022-05-21 00:30:52.723000","37","False","False",""
"1","1","Aeromoeba","mh2","Near Mint","English","foil","","2022-12-06 04:11:02.163000","37","False","False",""
"1","1","Aeronaut's Wings","bro","Near Mint","English","","","2022-11-14 17:19:58.503000","231","False","False",""
"5","5","Aether Adept","m12","Near Mint","English","","","2022-02-27 18:17:54.310000","41","False","False",""
"1","1","Aether Revolt","mh3","Near Mint","English","","","2024-06-08 23:41:01.573000","113","False","False",""
"1","1","Aether Spellbomb","jmp","Near Mint","English","","","2023-01-22 15:00:41.960000","456","False","False",""
"1","1","Aether Syphon","dft","Near Mint","English","","","2025-02-20 03:30:36.977000","38","False","False",""
"1","1","Aetherblade Agent // Gitaxian Mindstinger","mom","Near Mint","English","","","2023-04-16 06:01:32.530000","88","False","False",""
"1","1","Aetherflux Conduit","drc","Near Mint","English","","","2025-02-20 03:31:19.277000","17","False","False",""
"1","1","Aetherflux Reservoir","kld","Near Mint","English","","","2024-11-09 18:25:19.133000","192","False","False",""
"1","1","Aetherize","40k","Near Mint","English","","","2024-11-09 18:25:00.647000","191","False","False",""
"1","1","Aetherize","ddo","Near Mint","English","","","2024-11-09 18:25:15.883000","36","False","False",""
"1","1","Aetherize","fdn","Near Mint","English","","","2024-11-09 07:24:01.387000","151","False","False",""
"1","1","Aetherize","lcc","Near Mint","English","","","2023-11-19 21:37:17.027000","142","False","False",""
"1","1","Aetherplasm","rvr","Near Mint","English","","","2024-01-24 04:19:11.570000","34","False","False",""
"1","1","Aethersnipe","2x2","Near Mint","English","foil","","2022-07-24 14:37:15.950000","37","False","False",""
"1","1","Aethersnipe","2x2","Near Mint","English","","","2022-07-24 14:37:44.643000","37","False","False",""
"1","1","Aetherspouts","mic","Near Mint","English","","","2024-11-09 18:25:00.647000","97","False","False",""
"1","1","Aethersquall Ancient","kld","Near Mint","English","","","2022-02-27 20:09:05.087000","39","False","False",""
"1","1","Affa Guard Hound","jmp","Near Mint","English","","","2023-01-22 14:48:07.223000","81","False","False",""
"2","2","Affectionate Indrik","fdn","Near Mint","English","","","2024-11-09 07:34:07.670000","211","False","False",""
"1","1","Afflicted Deserter // Werewolf Ransacker","dka","Near Mint","English","","","2022-02-26 23:31:49.080000","81","False","False",""
"1","1","Afterlife from the Loam","tdc","Near Mint","English","","","2025-12-30 03:07:16.263000","25","False","False",""
"1","1","Aftermath Analyst","mkm","Near Mint","English","","","2025-06-19 03:17:26.420000","148","False","False",""
"1","1","Against All Odds","one","Near Mint","English","","","2023-03-17 23:13:55.280000","1","False","False",""
"2","2","Agate Assault","blb","Near Mint","English","","","2024-07-29 03:37:52.380000","122","False","False",""
"1","1","Agatha's Champion","woe","Near Mint","English","","","2024-03-31 02:33:06.153000","160","False","False",""
"1","1","Agency Coroner","mkm","Near Mint","English","","","2024-02-04 03:01:32.500000","75","False","False",""
"2","2","Agent of Atlas","msh","Near Mint","English","","","2026-06-21 06:32:01.397000","3","False","False",""
"1","1","Agent of Kotis","tdm","Near Mint","English","","","2025-04-06 16:50:56.230000","36","False","False",""
"1","1","Agent of the Iron Throne","clb","Near Mint","English","","","2024-11-09 18:25:00.647000","107","False","False",""
"1","1","Agent of the Shadow Thieves","clb","Near Mint","English","","","2024-11-09 18:25:00.647000","108","False","False",""
"1","1","Agents of S.H.I.E.L.D.","msh","Near Mint","English","","","2026-06-21 06:35:47.800000","5","False","False",""
"1","1","Aggressive Negotiations","tdm","Near Mint","English","","","2025-04-06 17:10:51.577000","70","False","False",""
"1","1","Aggressive Sabotage","dmu","Near Mint","English","","","2022-09-03 15:20:56.953000","78","False","False",""
"1","1","Agitator Ant","c20","Near Mint","English","","","2022-02-26 23:39:30.630000","49","False","False",""
"1","1","Agonasaur Rex","dft","Near Mint","English","","","2025-02-15 07:37:18.533000","151","False","False",""
"1","1","Agonasaur Rex","pdft","Near Mint","English","foil","","2025-04-23 04:54:26.970000","151p","False","False",""
"1","1","Agonizing Remorse","thb","Near Mint","English","","","2022-02-26 18:17:58.757000","83","False","False",""
"1","1","Agony Warp","mm3","Near Mint","English","","","2022-02-26 04:36:44.133000","150","False","False",""
"1","1","Ahn-Crop Invader","war","Near Mint","English","","","2023-12-03 06:03:31.673000","113","False","False",""
"1","1","Ahriman","fin","Near Mint","English","foil","","2025-06-07 00:12:00.343000","87","False","False",""
"6","6","Ahriman","fin","Near Mint","English","","","2025-07-09 00:54:27.110000","87","False","False",""
"1","1","Ainok Bond-Kin","cmm","Near Mint","English","","","2023-08-05 16:54:52.593000","7","False","False",""
"1","1","Ainok Bond-Kin","ktk","Near Mint","English","","","2022-02-27 04:22:36.293000","3","False","False",""
"1","1","Ainok Bond-Kin","ima","Near Mint","English","","","2026-04-06 03:08:25.390000","4","False","False",""
"1","1","Ainok Strike Leader","tdc","Near Mint","English","","","2025-12-30 03:07:30.737000","11","False","False",""
"1","1","Ainok Tracker","ktk","Near Mint","English","foil","","2022-02-26 23:10:29.650000","96","False","False",""
"2","2","Ainok Wayfarer","tdm","Near Mint","English","","","2025-04-06 17:29:45.050000","134","False","False",""
"1","1","Air Nomad Student","tle","Near Mint","English","","","2025-12-01 15:13:57.470000","75","False","False",""
"1","1","Airbender Ascension","tla","Near Mint","English","","","2025-12-27 05:32:09.510000","6","False","False",""
"1","1","Airlift Chaplain","bro","Near Mint","English","","","2026-04-06 03:11:22.210000","2","False","False",""
"5","5","Airship Crash","fin","Near Mint","English","","","2025-07-15 02:06:35.027000","171","False","False",""
"2","2","Airship Engine Room","tla","Near Mint","English","","","2025-12-27 05:41:27.380000","265","False","False",""
"1","1","Ajani Fells the Godsire","mh3","Near Mint","English","","","2024-06-14 22:12:08.473000","19","False","False",""
"1","1","Ajani Steadfast","cmm","Near Mint","English","","","2024-07-09 04:09:13.760000","813","False","False",""
"1","1","Ajani, Mentor of Heroes","pmei","Near Mint","English","foil","","2024-09-05 21:12:59.157000","2024-3","False","False",""
"1","1","Ajani, Nacatl Pariah // Ajani, Nacatl Avenger","mh3","Near Mint","English","","","2024-06-09 05:13:54.533000","237","False","False",""
"1","1","Ajani, Sleeper Agent","dmu","Near Mint","English","","","2023-12-08 17:19:53.270000","371","False","False",""
"1","1","Ajani, the Greathearted","war","Near Mint","Japanese","","","2024-11-09 18:25:00.647000","184★","False","False",""
"1","1","Ajani's Chosen","c18","Near Mint","English","","","2024-11-09 18:25:00.647000","61","False","False",""
"1","1","Ajani's Pridemate","plst","Near Mint","English","","","2022-02-27 03:55:58.803000","WAR-4","False","False",""
"1","1","Ajani's Response","sos","Near Mint","English","","","2026-04-20 01:47:42.373000","6","False","False",""
"1","1","Akal Pakal, First Among Equals","lci","Near Mint","English","","","2023-11-25 07:42:04.413000","44","False","False",""
"1","1","Akim, the Soaring Wind","c20","Near Mint","English","","","2024-11-09 18:25:00.647000","6","False","False",""
"1","1","Akroan Conscriptor","bng","Near Mint","English","","","2022-02-26 23:24:30.327000","87","False","False",""
"1","1","Akroan Horse","ths","Near Mint","English","","","2022-02-26 05:52:08.927000","210","False","False",""
"1","1","Akroan Skyguard","j25","Near Mint","English","","","2024-12-05 15:03:52.653000","159","False","False",""
"1","1","Akroma, Angel of Fury","tsr","Near Mint","English","foil","","2024-11-09 18:25:08.900000","150","False","False",""
"1","1","Akroma's Vengeance","c20","Near Mint","English","","","2023-03-19 17:14:20.077000","74","False","False",""
"1","1","Akroma's Will","cmr","Near Mint","English","","","2024-11-09 18:25:08.900000","3","False","False",""
"4","4","Al Bhed Salvagers","fin","Near Mint","English","","","2025-07-09 00:55:21.143000","88","False","False",""
"1","1","Alabaster Host Intercessor","mom","Near Mint","English","foil","","2023-04-26 04:54:53.127000","3","False","False",""
"2","2","Alabaster Host Intercessor","mom","Near Mint","English","","","2023-04-16 06:03:30.090000","3","False","False",""
"1","1","Alabaster Host Sanctifier","mom","Near Mint","English","","","2023-04-16 05:53:40.387000","4","False","False",""
"2","2","Alabaster Kirin","ktk","Near Mint","English","","","2022-02-27 04:38:17.037000","4","False","False",""
"6","6","Alabaster Mage","m12","Near Mint","English","","","2022-02-27 03:42:18.067000","2","False","False",""
"1","1","Aladdin's Ring","3ed","Near Mint","English","","","2025-10-15 01:38:18.477000","232","False","False",""
"1","1","Alchemist's Gambit","vow","Near Mint","English","","","2024-11-09 18:25:23.097000","140","False","False",""
"1","1","Alchemist's Gift","j25","Near Mint","English","","","2024-12-07 15:30:52.893000","397","False","False",""
"1","1","Alchemist's Gift","m21","Near Mint","English","","","2023-01-22 17:04:24.150000","87","False","False",""
"1","1","Alchemist's Refuge","plst","Near Mint","English","foil","","2024-11-09 18:25:00.647000","AVR-225","False","False",""
"1","1","Alchemist's Retrieval","vow","Near Mint","English","","","2022-02-27 22:39:45.397000","47","False","False",""
"1","1","Alela, Artful Provocateur","ncc","Near Mint","English","","","2024-11-09 18:25:00.647000","325","False","False",""
"1","1","Alesha, Who Laughs at Fate","fdn","Near Mint","English","","","2025-05-21 04:36:07.640000","115","False","False",""
"1","1","Alesha, Who Smiles at Death","2x2","Near Mint","English","","","2024-11-09 18:25:00.647000","101","False","False",""
"1","1","Alesha's Legacy","tdm","Near Mint","English","","","2025-04-06 17:03:06.370000","72","False","False",""
"1","1","Alexios, Deimos of Kosmos","acr","Near Mint","English","","","2026-07-19 04:13:22.787000","33","False","False",""
"1","1","Alhammarret's Archive","ori","Near Mint","English","","","2024-11-26 18:25:16.763000","221","False","False",""
"1","1","Aligned Heart","tdc","Near Mint","English","","","2025-10-17 05:09:59.167000","12","False","False",""
"1","1","Alisaie Leveilleur","fic","Near Mint","English","","","2025-07-09 00:51:13.860000","9","False","False",""
"1","1","Alisaie Leveilleur","fic","Near Mint","English","foil","","2025-10-17 05:07:59.137000","9","False","False",""
"1","1","All Hallow's Eve","leg","Near Mint","English","","","2026-03-05 03:45:12.020000","88","False","True",""
"1","1","All That Glitters","cmm","Near Mint","English","foil","","2023-08-05 16:57:38.100000","622","False","False",""
"1","1","Alley Assailant","mkm","Near Mint","English","","","2024-02-04 03:01:46.007000","76","False","False",""
"1","1","Alley Evasion","plst","Near Mint","English","","","2022-02-27 04:26:06.677000","AER-6","False","False",""
"1","1","All-Fates Scroll","eoe","Near Mint","English","","","2025-07-28 00:41:35.320000","234","False","False",""
"1","1","Alliance","jtla","Near Mint","English","","","2025-12-11 00:14:51.453000","3","False","False",""
"2","2","Allies at Last","tla","Near Mint","English","","","2025-12-09 16:31:45.877000","164","False","False",""
"1","1","All-Out Assault","tdm","Near Mint","English","","","2025-06-22 02:08:53.660000","352","False","False",""
"1","1","Alloy Animist","bro","Near Mint","English","foil","","2022-11-28 05:52:29.393000","166","False","False",""
"1","1","Alloy Animist","bro","Near Mint","English","","","2022-11-14 17:30:49.577000","166","False","False",""
"1","1","Alluring Siren","m12","Near Mint","English","","","2022-02-27 18:18:44.017000","42","False","False",""
"2","2","Alluring Suitor // Deadly Dancer","vow","Near Mint","English","","","2023-12-09 21:21:14.703000","141","False","False",""
"1","1","Aloe Alchemist","otj","Near Mint","English","","","2024-04-14 04:13:38.043000","152","False","False",""
"3","3","Alpha Tyrranax","som","Near Mint","English","","","2022-02-26 01:46:58.763000","109","False","False",""
"1","1","Alphinaud Leveilleur","fic","Near Mint","English","","","2025-07-09 00:51:13.860000","33","False","False",""
"1","1","Alphinaud Leveilleur","fic","Near Mint","English","foil","","2025-10-17 05:08:09.707000","33","False","False",""
"1","1","Alpine Watchdog","m21","Near Mint","English","","","2023-01-22 14:50:00.900000","2","False","False",""
"1","1","Alrund, God of the Cosmos // Hakka, Whispering Raven","khm","Near Mint","English","","","2024-11-09 18:25:00.647000","40","False","False",""
"1","1","Altanak, the Thrice-Called","dsk","Near Mint","English","","","2024-09-21 06:04:39.690000","166","False","False",""
"1","1","Altar of Dementia","brr","Near Mint","English","","","2023-05-04 00:03:45.453000","3","False","False",""
"1","1","Altar of the Brood","ktk","Near Mint","English","","","2023-12-24 21:08:54.073000","216","False","False",""
"1","1","Altar's Reap","m14","Near Mint","English","","","2022-02-26 18:00:53.630000","84","False","False",""
"1","1","Altered Ego","fic","Near Mint","English","","","2025-07-15 02:12:26.483000","317","False","False",""
"1","1","Amass the Components","avr","Near Mint","English","","","2022-02-27 18:47:28.893000","43","False","False",""
"2","2","Amazing Acrobatics","spm","Near Mint","English","","","2025-09-20 07:18:19.973000","25","False","False",""
"1","1","Ambassador Oak","a25","Near Mint","English","","","2026-04-06 03:11:49.973000","158","False","False",""
"1","1","Ambition's Cost","ddr","Near Mint","English","","","2022-10-14 16:42:31.067000","38","False","False",""
"1","1","Ambition's Cost","cma","Near Mint","English","","","2022-04-28 04:08:06.317000","46","False","False",""
"1","1","Ambitious Aetherborn","plst","Near Mint","English","","","2022-02-26 17:09:11.320000","KLD-72","False","False",""
"1","1","Ambitious Dragonborn","clb","Near Mint","English","","","2022-06-06 18:46:38.240000","213","False","False",""
"1","1","Ambitious Farmhand // Seasoned Cathar","mid","Near Mint","English","","","2026-05-02 18:40:03.073000","2","False","False",""
"1","1","Ambrosia Whiteheart","fin","Near Mint","English","foil","","2025-09-28 05:03:15.017000","325","False","False",""
"2","2","Ambrosia Whiteheart","fin","Near Mint","English","","","2025-06-07 00:08:10.037000","6","False","False",""
"1","1","Ambrosia Whiteheart","fin","Near Mint","English","","","2025-06-08 23:22:59.193000","325","False","False",""
"1","1","Ambulatory Edifice","one","Near Mint","English","","","2023-03-18 02:10:17.917000","79","False","False",""
"1","1","Ambuscade","2x2","Near Mint","English","","","2022-07-09 21:49:06.117000","133","False","False",""
"2","2","Ambush Paratrooper","bro","Near Mint","English","","","2026-04-06 03:06:53.897000","3","False","False",""
"1","1","Ambush Viper","inr","Near Mint","English","","","2025-01-18 07:06:01.233000","186","False","False",""
"1","1","Aminatou's Augury","plst","Near Mint","English","","","2023-04-26 04:45:59.430000","C18-6","False","False",""
"1","1","Amonkhet Raceway","dft","Near Mint","English","","","2025-08-31 05:05:08.287000","248","False","False",""
"1","1","Amorphous Axe","cmr","Near Mint","English","","","2022-02-26 05:50:49.813000","295","False","False",""
"1","1","Amphibian Downpour","mh3","Near Mint","English","","","2024-06-14 22:13:06.390000","51","False","False",""
"1","1","Amphin Cutthroat","m12","Near Mint","English","","","2022-02-27 18:18:07.680000","43","False","False",""
"1","1","Amphin Mutineer","tdc","Near Mint","English","","","2025-05-02 02:30:25.797000","143","False","False",""
"1","1","Amphin Mutineer","cmr","Near Mint","English","","","2024-11-09 18:25:23.097000","55","False","False",""
"1","1","An Offer You Can't Refuse","fic","Near Mint","English","","","2025-07-15 02:12:26.483000","267","False","False",""
"2","2","An Offer You Can't Refuse","snc","Near Mint","English","","","2024-11-09 18:25:23.097000","51","False","False",""
"1","1","Anara, Wolvid Familiar","cmr","Near Mint","English","foil","","2024-11-09 18:25:00.647000","214","False","False",""
"1","1","Anara, Wolvid Familiar","cmr","Near Mint","English","","","2024-11-09 18:25:00.647000","214","False","False",""
"1","1","Anax, Hardened in the Forge","thb","Near Mint","English","","","2024-11-09 18:25:00.647000","125","False","False",""
"2","2","Ancestors' Aid","lci","Near Mint","English","","","2023-11-11 04:52:35.473000","132","False","False",""
"2","2","Ancestral Anger","sos","Near Mint","English","","","2026-04-20 01:57:51.827000","106","False","False",""
"1","1","Ancestral Anger","vow","Near Mint","English","","","2023-11-07 20:00:01.063000","142","False","False",""
"2","2","Ancestral Blade","cmr","Near Mint","English","","","2022-02-27 05:15:51.987000","5","False","False",""
"1","1","Ancestral Blade","m20","Near Mint","English","","","2022-02-27 04:00:25.630000","3","False","False",""
"1","1","Ancestral Katana","neo","Near Mint","English","","","2022-04-24 20:32:05.473000","1","False","False",""
"1","1","Ancestral Reminiscence","lci","Near Mint","English","","","2023-11-11 05:03:59.423000","45","False","False",""
"1","1","Ancestral Statue","jmp","Near Mint","English","","","2023-01-22 15:00:51.340000","458","False","False",""
"1","1","Ancestral Vengeance","plst","Near Mint","English","","","2022-02-26 16:51:14.830000","FRF-61","False","False",""
"1","1","Anchor to Reality","neo","Near Mint","English","","","2022-04-24 20:33:54.270000","45","False","False",""
"1","1","Ancient Adamantoise","fin","Near Mint","English","","","2025-06-07 00:11:48.453000","172","False","False",""
"2","2","Ancient Animus","cmr","Near Mint","English","","","2022-02-25 20:34:28.137000","215","False","False",""
"1","1","Ancient Cellarspawn","dsc","Near Mint","English","","","2024-10-21 03:09:51.487000","16","False","False",""
"1","1","Ancient Greenwarden","j25","Near Mint","English","","","2024-12-11 18:42:41.343000","627","False","False",""
"1","1","Ancient Greenwarden","znr","Near Mint","Japanese","","","2024-10-13 20:26:15.663000","178","False","False",""
"1","1","Ancient Lumberknot","vow","Near Mint","English","","","2023-12-09 21:21:03.197000","230","False","False",""
"1","1","Ancient Tomb","uma","Near Mint","English","","","2024-02-28 17:10:44.590000","236","False","True",""
"1","1","Angel of Finality","afc","Near Mint","English","","","2022-02-27 04:17:22.037000","63","False","False",""
"1","1","Angel of Finality","c13","Near Mint","English","","","2024-11-09 18:25:08.900000","4","False","False",""
"1","1","Angel of Indemnity","otc","Near Mint","English","","","2025-12-24 20:47:23.583000","9","False","False",""
"1","1","Angel of Mercy","jmp","Near Mint","English","","","2023-01-22 17:12:47.077000","84","False","False",""
"1","1","Angel of Sanctions","akh","Near Mint","English","","","2024-11-09 18:25:08.900000","1","False","False",""
"1","1","Angel of Sanctions","drc","Near Mint","English","","","2025-02-14 23:22:25.257000","62","False","False",""
"1","1","Angel of Sanctions","c19","Near Mint","English","","","2022-02-27 04:33:24.643000","61","False","False",""
